year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2013.0	10.0	8.0	0	51.2184338544	0.789165828887	2.32978025247	1.57370193540	0.171921588724	1.92402947043	2.71319529932	
2013.0	10.0	9.0	0	51.2500953866	0.631348559729	2.46270980850	2.11378625320	0.154694226953	1.83408963248	2.46543819221	
2013.0	10.0	10.0	0	51.2840755276	0.505078847783	3.30062429610	0	0	1.74238515086	2.24746399864	
2013.0	10.0	11.0	0	51.3203770406	0.404063078226	3.18156094497	0	0	1.65526589332	2.05932897154	
2013.0	10.0	12.0	0	51.3590028438	0.323250462581	3.43725652080	0	0	1.57250259865	1.89575306123	
2013.0	10.0	13.0	0	51.3999560030	0.258600370065	3.63295600317	0	0	1.49387746872	1.75247783878	
2013.0	10.0	14.0	0	51.4432397254	0.206880296052	3.46939293529	0	0	1.41918359528	1.62606389133	
2013.0	10.0	15.0	0	51.4888573513	0.165504236842	3.38845800173	0	0	1.34822441552	1.51372865236	
2013.0	10.0	16.0	0	51.5368123470	0.132403389473	4.05860469384	0	0	1.28081319474	1.41321658422	
2013.0	10.0	17.0	0	51.5871082961	0.105922711579	4.51245833538	0	0	1.21677253501	1.32269524658	
2013.0	10.0	18.0	0	51.6397488909	0.0847381692629	5.39760453815	0	0	1.15593390825	1.24067207752	
2013.0	10.0	19.0	0	51.6947379230	0.0677905354103	5.86378514131	0	0	1.09813721284	1.16592774825	
2013.0	10.0	20.0	0	51.7520792741	0.0542324283282	4.48983116042	0	0	1.0432303522	1.09746278053	
2013.0	10.0	21.0	0	51.8117769052	1.40328473053	2.30622974705	2.20292521663	6.40869221329	2.38339042603	3.78667515656	
2013.0	10.0	22.0	0	51.8738348466	1.82461157164	2.63453187569	2.49676443049	5.38330328466	3.21171776061	5.03632933225	
2013.0	10.0	23.0	0	51.9382571867	1.45968925731	3.41379539265	0	0	3.05113187258	4.51082112989	
2013.0	10.0	24.0	0	52.0050480605	1.16775140585	3.31822404808	0	0	2.89857527895	4.06632668480	
2013.0	10.0	25.0	0	52.0742116376	0.984497915848	2.66742111837	2.36098435415	0.592709164608	2.89701934044	3.88151725628	
2013.0	10.0	26.0	0	52.1457521097	0.787598332678	3.00748731185	0	0	2.75216837341	3.53976670609	
